"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-07-26 17:12:19 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)"
2016,Lithuania,"Syrian Arab Rep.",23,5
2016,Luxembourg,Iraq,280,474
2016,Luxembourg,"Syrian Arab Rep.",686,334
2016,Latvia,Iraq,33,5
2016,Latvia,"Syrian Arab Rep.",143,78
2016,"China, Macao SAR","Syrian Arab Rep.",0,*
2016,Morocco,Iraq,137,18
2016,Morocco,"Syrian Arab Rep.",3242,0
2016,"Rep. of Moldova",Iraq,26,*
2016,"Rep. of Moldova","Syrian Arab Rep.",218,10
2016,Mexico,Iraq,42,5
2016,Mexico,"Syrian Arab Rep.",23,0
2016,"The former Yugoslav Republic of Macedonia",Iraq,*,*
2016,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.",13,5
2016,Mali,"Syrian Arab Rep.",11,5
2016,Malta,Iraq,45,22
2016,Malta,"Syrian Arab Rep.",1668,121
2016,Montenegro,Iraq,0,15
2016,Montenegro,"Syrian Arab Rep.",10,*
2016,Mauritania,Iraq,41,*
2016,Mauritania,"Syrian Arab Rep.",417,120
2016,Mauritius,"Syrian Arab Rep.",0,*
2016,Malaysia,Iraq,472,739
2016,Malaysia,"Syrian Arab Rep.",458,988
2016,Niger,Iraq,6,0
2016,Niger,"Syrian Arab Rep.",7,0
2016,Nigeria,Iraq,*,0
2016,Nigeria,"Syrian Arab Rep.",88,47
2016,Netherlands,Iraq,12740,1399
2016,Netherlands,"Syrian Arab Rep.",28394,987
2016,Norway,Iraq,2855,1127
2016,Norway,"Syrian Arab Rep.",11537,1085
2016,Nepal,Iraq,*,0
2016,Nauru,Iraq,19,13
2016,Nauru,"Syrian Arab Rep.",*,*
2016,"New Zealand",Iraq,146,5
2016,"New Zealand","Syrian Arab Rep.",61,*
2016,Oman,Iraq,309,354
2016,Oman,"Syrian Arab Rep.",7,6
2016,Pakistan,Iraq,21,7
2016,Pakistan,"Syrian Arab Rep.",13,7
2016,Peru,Iraq,17,*
2016,Peru,"Syrian Arab Rep.",32,7
2016,Philippines,Iraq,39,18
2016,Philippines,"Syrian Arab Rep.",51,40
2016,Palau,"Syrian Arab Rep.",0,*
2016,"Papua New Guinea",Iraq,9,0
2016,"Papua New Guinea","Syrian Arab Rep.",*,*
2016,Poland,Iraq,208,22
2016,Poland,"Syrian Arab Rep.",483,18
2016,Portugal,Iraq,19,75
2016,Portugal,"Syrian Arab Rep.",82,300
2016,Paraguay,Iraq,6,0
